module,gene_symbol,module_class
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox11,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox15,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox17,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox4i1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox5a,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox5b,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox6a1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox6b1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox6c,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox7a2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox7a2l,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox7b,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox7c,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox8a,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cpt1a,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cs,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cyb5a,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cyb5r3,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cyc1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cycs,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Decr1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Dlat,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Dld,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Dlst,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ech1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Echs1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Eci1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Etfa,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Etfb,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Etfdh,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Fdx1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Fh1,mitochondrial
