gene_name,selected_probe_id,GSM2510565,GSM2510566,GSM2510567,GSM2510568,GSM2510569,GSM2510570,GSM2510571,GSM2510572,GSM2510573,GSM2510574,GSM2510575,GSM2510576
Setmar,A_51_P339380,-1.663530453,-1.69051496,-1.320302398,-1.482433973,-1.14892401,-1.391202904,-1.379181472,-1.076799489,-1.19581999,-1.417258468,-1.236879302,-1.195721746
Setx,A_51_P470448,1.34185561,1.346915843,1.451720618,1.389796335,1.193578973,1.131147851,0.890913535,1.14782584,1.277047135,1.075998081,1.148262697,1.357355864
Sez6,A_55_P1978028,4.77526653,4.59982563,4.869791552,4.451619504,4.876307688,4.712469783,4.294183902,4.536260055,4.588829191,4.44771855,4.633306242,4.803871383
Sez6l,A_55_P2118744,2.248733385,2.417866614,2.175624332,1.939485215,2.093216179,2.112642318,1.868845691,2.012039181,1.811918781,2.00619026,2.176621377,2.204556781
Sez6l2,A_55_P2007630,4.596987383,4.49885513,4.410616115,4.235138674,4.607526517,4.425510034,4.409879097,4.575732338,4.377465116,4.324978077,4.53582671,4.749498423
Sf1,A_52_P618904,4.810705399,4.770463473,4.893047461,4.74643116,4.727922071,4.85160293,4.657635175,4.768894898,4.901817172,4.686738876,4.797994616,4.885675038
Sf3a1,A_51_P504442,1.23148589,1.147387357,1.083162876,0.769306841,0.90945386,0.728059946,0.652520122,0.869612364,0.629429384,0.692629515,0.770103003,0.974191445
Sf3a2,A_55_P2098057,4.046404345,3.756760066,3.910736661,3.866591251,3.960892569,3.849551254,3.835117771,3.822010179,3.880927323,3.992410234,3.944245608,4.172498416
Sf3a3,A_51_P297165,0.891253557,0.941894804,0.783294088,0.785341253,0.771763515,0.710734129,0.520233992,0.762725499,0.732646181,0.535822993,0.696490557,0.857992558
Sf3b1,A_52_P625808,0.692306767,0.780077654,0.295379531,0.344306887,0.186115072,0.23132454,0.05184528,0.194109331,0.349723628,0.277067352,0.341885805,0.202861861
Sf3b2,A_51_P280158,2.907463048,3.048066167,2.796327083,2.765665938,2.580429021,2.568085982,2.259897686,2.413531029,2.60892049,2.564003057,2.48127992,2.507728033
Sf3b3,A_55_P2056300,1.843601784,1.736572021,1.709060243,1.481039145,1.677528721,1.539969151,1.475041771,1.56315184,1.67595491,1.786109961,1.682202676,1.774343797
Sf3b4,A_55_P1996223,1.234075627,1.448838705,1.356554806,1.03743292,1.145825135,0.832835067,0.719690579,0.995138051,0.80919,1.155831629,0.757969312,1.289294002
Sf3b5,A_55_P2056285,2.72407441,2.792617452,2.409391702,2.441933111,2.673160861,2.591112059,2.380719865,2.47759715,2.506872594,2.312359379,2.519558387,2.690498491
Sf3b6,A_51_P424781,2.76052587,2.657338116,2.487772098,2.486700429,2.650757132,2.362506264,2.144629143,2.416946225,2.412316717,2.347319983,2.383626955,2.53655261
Sfi1,ri|C130086E21|PX00172O06|2617,2.830959728,2.927187085,2.80290079,3.139791105,2.94435606,2.817178195,3.15306501,2.572869188,3.208347502,3.148877093,3.029924785,3.021399871
Sfmbt1,A_52_P160518,1.304844684,1.31939499,1.299308522,1.344438214,1.31668177,1.356397452,0.913351112,1.303376294,1.409801772,1.198462074,1.266469189,1.326311126
Sfmbt2,A_55_P1956652,-1.491142621,-1.683395031,-1.35009371,-1.443957053,-1.370946092,-1.264227162,-1.525356098,-1.397358101,-1.599839834,-1.429231763,-1.224070163,-1.733656935
Sfpq,NONMMUT049522,2.85361522,2.828827477,2.818828816,2.714360495,2.566542128,2.72181501,2.661421735,2.523828941,2.671273431,2.511228168,2.515580463,2.611839873
Sfrp1,A_66_P134428,-1.189672846,-1.731896303,-2.025521101,-1.460935465,-1.295004324,-1.33047124,-1.73999772,-1.821089374,-1.534339221,-1.98605327,-1.858749597,-1.600943899
Sfrp4,A_51_P457196,-1.835211921,-1.808689306,-1.879354362,-1.676035902,-1.780806436,-1.813214169,-1.97705841,-1.959566799,-2.160405995,-1.799549135,-1.931800368,-1.878350449
Sfswap,A_51_P199624,1.901197126,2.252062038,1.863563707,2.191270342,2.097450441,2.015080779,2.168339763,2.092709928,2.166873366,1.772848225,2.105334196,1.889082595
Sft2d1,NONMMUT028136,-3.52405657,-3.256571181,-3.085722183,-2.916639506,-3.653230092,-3.412167238,-2.931729455,-3.563485129,-3.288636292,-3.262494978,-3.119598275,-3.206108302
Sft2d2,A_52_P408690,3.081217313,2.925772726,3.155862641,2.763580235,2.937957992,2.88413459,2.842133791,2.904998523,2.732803497,2.68454117,2.808278137,3.030054335
Sft2d3,A_55_P2057102,-2.3740222,-2.469190701,-2.879115341,-2.882602122,-2.721205871,-2.788731724,-2.909441007,-2.465899993,-3.11660726,-2.934875466,-2.804693031,-2.723252909
Sfta2,A_66_P115467,-0.371984407,-1.089752724,-0.72126843,-0.589947224,-0.889279395,-1.039099415,-0.637715824,-0.710454589,-0.921165172,-0.131798459,-0.962879019,-0.734000317
Sftpa1,A_52_P24439,-6.897908321,-6.149381181,-7.065864479,-6.810624491,-6.990410046,-7.123089105,-5.25482376,-6.824238374,-6.500196153,-6.072745995,-6.551010243,-6.520421131
Sftpb,A_51_P269134,-5.348000017,-5.826686675,-5.254542815,-4.365798737,-4.634943889,-4.222410658,-4.236147484,-4.201275534,-4.689581189,-3.78844441,-4.657254709,-4.380486396
Sftpc,A_51_P328001,-1.854592318,-2.254579447,-2.08616166,-2.082197358,-1.986400883,-2.101371339,-1.850545859,-1.859953872,-2.308657632,-2.281095943,-2.036079852,-1.999473003
Sftpd,A_55_P2007601,-0.987271293,-1.212859305,-0.901664902,-0.892305026,-0.975757661,-0.894207462,-1.054522785,-0.748953695,-1.068499255,-0.904930561,-0.884015228,-0.794249426
Sfxn1,A_52_P113700,1.885701296,1.927866935,2.017616501,1.724271263,1.982256705,1.908883083,1.397774075,1.791692655,1.883982066,1.905068546,1.781823236,1.900681144
Sfxn2,A_55_P2448065,1.111550685,1.304662467,1.129226162,1.316485881,1.330435337,1.312276585,1.40544558,0.975273663,1.13913887,0.891758166,1.128224965,0.910206851
